,Texts,Polarity
0,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
1,"Brokeback Mountain was just as depressing as the first time, but I'm glad I went to see it again.",-1
2,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
3,The Da Vinci Code sucked big time.,-1
4,I love Harry Potter..,1
5,GrandeFratello innanzitutto perch carmelitadurso si imposta come madame Tussaud E poi ma che le avete attacca,0
6,I actually loved Da Vinci Code.,1
7,Brokeback Mountain was so awesome.,1
8,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
9,i heard da vinci code sucked soo much only 2.5 stars:,-1
10,The Da Vinci Code was absolutely AWESOME!,1
11,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
12,I hate Harry Potter..,-1
13,"I liked the first "" Mission Impossible.",1
14,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
15,Leonardo DiCaprio Kourtney Kardashian Rave at Neon Carnival via wwd,0
16,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
17,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
18,"Perhaps I should revise my opinion to "" I hate Brokeback Mountain jokes, unless they are carefully crafted and involve one of my pop-culture loves.",-1
19,"Harry Potter was so adorable, he had a scar and everything.: ) I love Harry Potter.",1
20,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
21,I love playing defensive positions and i love brokeback mountain..,1
22,elonmusk WoWyou are blasting the speakers for that sound Unbelievably insane,0
23,Brokeback Mountain was an AWESOME movie.,1
24,So Brokeback Mountain was really depressing.,-1
25,Mission Impossible 3 was excellent.,1
26,dudeee i LOVED brokeback mountain!!!!,1
27,Mission Impossible 3 was excellent.,1
28,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
29,Da Vinci Code sucked..,-1
30,i liked the Da Vinci Code a lot.,1
31,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
32,I hate Harry Potter..,-1
33,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
34,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
35,Da Vinci Code sucks be...,-1
36,And I love the Da Vinci Code(,1
37,So Brokeback Mountain was really depressing.,-1
38,thisisinsider elonmusk ElonMusk Elon this is cool,1
39,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
40,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
41,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
42,The Da Vinci Code sucked big time.,-1
43,I hate Harry Potter.,-1
44,we're gonna like watch Mission Impossible or Hoot.(,1
45,Da Vinci Code sucked..,-1
46,Mission Impossible 3 is actually pretty awesome as far as mindless action movies go.,1
47,Harry Potter can suck my clit...,-1
48,"Because, this kid wrote a letter to the school editor about how brokeback mountain is a horrible movie(",-1
49,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
50,The Da Vinci Code sucked.,-1
51,Ok brokeback mountain is such a horrible movie.,-1
52,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
53,"Anyway, thats why I love "" Brokeback Mountain.",1
54,historylvrsclub ACKSHUALLYJOSH Everyone loves the young Leonardo DiCaprio There is an old sentence in China Time is a butcher,0
55,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
56,"by the way, the Da Vinci Code sucked, just letting you know...",-1
57,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
58,Da Vinci Code sucked..,-1
59,I love Harry Potter.,1
60,"I, too, like Harry Potter..",1
61,You cant be paralyzed by fear of failure or you will never push yourself Schwarzenegger,0
62,Love luv lubb the Da Vinci Code!,1
63,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
64,I wanted desperately to love'The Da Vinci Code as a film.,1
65,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
66,Tix Knight38 MKBHD Its finally here,0
67,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
68,The Da Vinci Code is awesome..,1
69,I love Harry Potter.,1
70,Mission Impossible III was AWESOME.,1
71,Brokeback Mountain was boring.,-1
72,I hate Harry Potter.,-1
73,"Then again, I actually hated Harry Potter before I read it, and look at me now.",-1
74,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
75,The Da Vinci Code was absolutely AWESOME!,1
76,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
77,Harry Potter is a story of good conquering evil and the friendships that are formed along the way...,-1
78,HAHATHAHHAHGSHSGFHAHAH,0
79,Mkbhd won creator of the DECADE thats lit,0
80,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
81,"by the way, the Da Vinci Code sucked, just letting you know...",-1
82,Ok brokeback mountain is such a horrible movie.,-1
83,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
84,Da Vinci Code sucks.,-1
85,elonmusk,0
86,i love being a sentry for mission impossible and a station for bonkers.,1
87,I love Brokeback Mountain....,1
88,As I mentioned in the video the idea was Taoistdragongmss I think the video blew up as a result of,0
89,I was thinking of re-reading the 6th Harry Potter book ( Half-Blood Prince ) which is an awesome book and I can't wait to read the final one when it comes out.,1
90,"Loved the Mission Impossible quip and the fact that V made the Tom Cruise joke, they never get old to me, TC is such a freak.",1
91,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
92,lol nd i heard da vinci code sucks..,-1
93,I like Mission Impossible movies because you never know who's on the right side.,1
94,It might be time to replace Musk as CEO,0
95,elonmusk,0
96,Leonardo DiCaprio and Kate Winslet have so much onscreen chemistry its crazy to think theyve never really been i,1
97,I hate Harry Potter...,-1
98,I OFFICIALLY * HATE * BROKEBACK MOUNTAIN!!!!!!!!!!!,-1
99,Da Vinci Code sucks be...,-1
100,Da Vinci Code sucked..,-1
101,I was thinking we should have a gay cowboy party in honor of Val's starring performance in Titus.: ) And because I love Brokeback Mountain..,1
102,Brokeback Mountain was boring.,-1
103,""" Brokeback Mountain "" was a beautiful movie and it haunted me for days after seeing it...",1
104,brokeback mountain is a beautiful story-i hope you get your hands on a copy.,1
105,Mission Impossible 3 was excellent.,1
106,becuase that stupid brokeback mountain movie.,-1
107,I am the only person in the world who thought Brokeback Mountain sucked.(,-1
108,"Is it just me, or does Harry Potter suck?...",-1
109,I love Harry Potter.,1
110,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
111,Brokeback Mountain was so awesome.,1
112,letitbit teen final fantasy sex videos sex and funny arnold schwarzenegger porn video fre kz sexy,0
113,The Da Vinci Code is awesome!!,1
114,I hate Harry Potter.,-1
115,The Da Vinci Code sucked big time.,-1
116,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
117,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
118,Brokeback Mountain was boring.,-1
119,"I liked the first "" Mission Impossible.",1
120,I love Harry Potter.,1
121,Book-I love the Harry Potter books.,1
122,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
123,"Brokeback mountain, a movie about two gay cowboys overcoming adversity is the STUPIDEST and most OFFENSIVE film hollywood has concocted yet.",-1
124,I love intellectual Harry Potter debates..,1
125,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
126,Brokeback Mountain was an AWESOME movie.,1
127,En petit ou en tr s grands formats sur toile papier dart dibond plexi chromalux vous trouverez toutes les ph,0
128,Brokeback Mountain was boring.,-1
129,i heard da vinci code sucked soo much only 2.5 stars:,-1
130,I loved Brokeback Mountain.,1
131,A Georgia mother warns that the Harry Potter books are an evil attempt to indoctrinate kids into the Wicca religion and must be stopped.,-1
132,I hate the dance remix of Brokeback Mountain theme song.,-1
133,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
134,I like Mission Impossible movies because you never know who's on the right side.,1
135,httaepkth BTS twt Without Logan Paul this time,0
136,The Da Vinci Code sucked big time.,-1
137,"i like watching the x-men movies with halle barry and hugh jackson, just like mission impossible with tom cruise.",1
138,"Is it just me, or does Harry Potter suck?...",-1
139,So Brokeback Mountain was really depressing.,-1
140,man i loved brokeback mountain!,1
141,The Da Vinci Code sucked.,-1
142,elonmusk Im happy to know that you listen to what we listen too,1
143,I love to sing the Mission impossible song when i'm excersizing It makes it funner.,1
144,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
145,"I liked the first "" Mission Impossible.",1
146,MKBHD Id say maybe David Dobrik and Ninja Idk lol,0
147,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
148,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
149,I am going to start reading the Harry Potter series again because that is one awesome story.,1
150,but then when i came home tiffani made us all watch brokeback mountain which was horrible...,-1
151,I cant wait until Saturday because I love Mission Impossible!!!!,1
152,"I HATE Harry Potter, but I'd so watch it if KAT-TUn starred in it!",-1
153,so I did an awesome Mission Impossible move [ eek tom ] off the rocks and it was going good until I fell and rolled.,1
154,I love Harry Potter.,1
155,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
156,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
157,"I liked Crash a lot, I liked Brokeback Mountain, but GN & GL was the important movie that the other two were hyped as being...",1
158,When I listen to Swiss Glide by Michna It sounds like an intro to an MKBHD video,0
159,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
160,"Anyway, thats why I love "" Brokeback Mountain.",1
161,I love Brokeback Mountain.,1
162,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
163,I am going to start reading the Harry Potter series again because that is one awesome story.,1
164,Da Vinci Code sucked..,-1
165,elonmusk meet Elon Tusk,0
166,Leonardo DiCaprios first agent wanted to change his name to Lenny Williams because he thought his name sounded too ethnic,0
167,Ok brokeback mountain is such a horrible movie.,-1
168,HashtagGriswold Tom Brady Willem Dafoe and young Arnold Schwarzenegger told stormy never to blab about his dick,0
169,Da Vinci Code sucks be...,-1
170,Brokeback Mountain was depressing!,-1
171,I love Harry Potter.,1
172,we're gonna like watch Mission Impossible or Hoot.(,1
173,I love Harry Potter.,1
174,The Da Vinci Code sucked big time.,-1
175,"In "" Harry Potter and the Prisoner of Azkaban, "" you see Dementors that suck the Life and Joy out of you and taking your Will to Live.",-1
176,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
177,I hate Harry Potter..,-1
178,The Da Vinci Code was absolutely AWESOME!,1
179,I love Harry Potter.,1
180,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
181,Da Vinci Code sucked..,-1
182,the people who are worth it know how much i love the da vinci code.,1
183,Harry Potter is evil!!!!!..,-1
184,Da Vinci Code sucked..,-1
185,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
186,Harry Potter = Gorgeous!.,1
187,CaseyNeistat My boy this is lit Especially since you also worked with MKBHD to make this video,0
188,"Oh, and Brokeback Mountain was a terrible movie.",-1
189,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
190,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
191,DA VINCI CODE IS AWESOME!!,1
192,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
193,Mission Impossible 3 is so shitty a movie even Phillip Seymour Hoffman and Simon Pegg(,-1
194,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
195,DA VINCI CODE IS AWESOME!!,1
196,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
197,The Da Vinci Code was absolutely AWESOME!,1
198,"no, I hope this doesn't end up like Brokeback Mountain.",1
199,I love Brokeback Mountain.,1
200,"by the way, the Da Vinci Code sucked, just letting you know...",-1
201,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
202,"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment "" seeing how the other side reads.",1
203,The Da Vinci Code was absolutely AWESOME!,1
204,Ok brokeback mountain is such a horrible movie.,-1
205,L7ervo robinksg oo yas same and leonardo dicaprio,0
206,I am going to start reading the Harry Potter series again because that is one awesome story.,1
207,the da vinci code is awesome!,1
208,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
209,The Da Vinci Code is awesome!!,1
210,"Oh, and Brokeback Mountain was a terrible movie.",-1
211,"And I hate Wesley almost as much as I hate Harry Potter, but that doesn't mean Captain Picard still wasn't a douche and a half that day.",-1
212,DA VINCI CODE IS AWESOME!!,1
213,"Anyway, thats why I love "" Brokeback Mountain.",1
214,My dad's being stupid about brokeback mountain...,-1
215,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
216,So Brokeback Mountain was really depressing.,-1
217,hey wait i love brokeback mountain!,1
218,"Oh, and Brokeback Mountain was a terrible movie.",-1
219,mission impossible 2 rocks!!....,1
220,man i loved brokeback mountain!,1
221,i love being a sentry for mission impossible and a station for bonkers.,1
222,One day I shall do the same thing,0
223,Leonardo DiCaprio will present Martin Scorsese with an award during TCM Film Festival on April Lets hope,0
224,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
225,I love The Da Vinci Code...,1
226,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
227,Mission Impossible 3 was excellent.,1
228,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
229,Brokeback Mountain was boring.,-1
230,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",-1
231,I love Harry Potter..,1
232,This quiz sucks and Harry Potter sucks ok bye..,-1
233,"I have two awesome Harry Potter costumes I'm planning for 2007, but they aren't finished yet, unfortunately!",1
234,My dad's being stupid about brokeback mountain...,-1
235,the last stand and Mission Impossible 3 both were awesome movies.,1
236,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
237,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
238,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
239,I love the theme song of mission impossible * *.,1
240,da vinci code was an awesome movie...,1
241,I love The Da Vinci Code...,1
242,"weeeellllllll even though you say that The Da Vinci Code sucked, I still have to go see it because I read the book therefor.....",-1
243,"The Da Vinci Code was awesome, I can't wait to read it...",1
244,I love Brokeback Mountain.,1
245,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
246,Brokeback Mountain was so awesome.,1
247,The Da Vinci Code was absolutely AWESOME!,1
248,"Anyway, thats why I love "" Brokeback Mountain.",1
249,That loves Harry Potter...,1
250,The Da Vinci Code is awesome!!,1
251,"I, too, like Harry Potter..",1
252,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
253,da vinci code sucks ass.,-1
254,Love the Harry Potter series though I try not to talk about it too much..,1
255,I like Mission Impossible movies because you never know who's on the right side.,1
256,The Da Vinci Code sucks.,-1
257,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
258,"^ my prediction was correct, mission impossible 3 was a lousy movie...",-1
259,Love the Harry Potter series though I try not to talk about it too much..,1
260,I like Mission Impossible movies because you never know who's on the right side.,1
261,Finn Wolfhard is the next Leonardo DiCaprio,1
262,I wanted desperately to love'The Da Vinci Code as a film.,1
263,I love Harry Potter..,1
264,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
265,we're gonna like watch Mission Impossible or Hoot.(,1
266,"It's BBM, a Jake / Heath RPS story, so I figured there would be interest here since a lot of you, I know, saw and loved Brokeback Mountain.",1
267,da vinci code sucks...,-1
